Following Athlete ID,Follow Status,Created At
19740246,Accepted,"13 Aug 2020, 20:08:33"
4473224,Accepted,"21 Aug 2020, 05:42:06"
7402818,Accepted,"8 Oct 2020, 06:49:28"
48695881,Accepted,"8 Oct 2020, 06:49:57"
23594896,Accepted,"18 Nov 2020, 23:25:45"
8394406,Accepted,"13 Jan 2021, 00:12:04"
14215108,Accepted,"2 Feb 2021, 21:56:35"
12401810,Accepted,"2 Feb 2021, 21:56:46"
49446267,Accepted,"14 Feb 2021, 12:56:53"
3388362,Accepted,"18 Feb 2021, 16:41:58"
54258952,Accepted,"21 Feb 2021, 19:57:32"
