Join Date,Club Name
"4 Aug 2016, 09:53:44",Swansea Bay parkrun
"13 Sep 2016, 16:05:05",All Runners - Swansea
"3 Jan 2019, 10:52:48",ABP Newport Wales Marathon
"30 May 2019, 21:24:03",Swansea Harriers
"30 Jun 2019, 08:27:32",NW RATS 🐀
"29 Oct 2019, 09:16:23",Manchester Marathon
"5 Feb 2021, 18:04:28",Bowland CC
"11 Feb 2021, 14:56:18",The RUNSTRONG Club 
