Category,Flagged Type,Flagged ID,Comments,Created At
Wrong activity type,Activity,2584022125,It's a cycle marked as a run. He's taken several run segment records.,"2 Aug 2019, 14:29:36"
Bad GPS data,Activity,822094774,The pace in the segment was faster than usain bolt...,"16 Jan 2020, 14:00:30"
Bad GPS data,Activity,64487185,17km in 30mins - world record pace,"16 Jan 2020, 14:01:33"
